Date,Bid Price
05/06/2019,1.13
05/03/2019,1.12
05/02/2019,1.12
05/01/2019,1.11
04/30/2019,1.11
04/29/2019,1.1
04/26/2019,1.1
04/25/2019,1.1
04/24/2019,1.1
04/23/2019,1.11
04/22/2019,1.11
04/18/2019,1.1
04/17/2019,1.09
04/16/2019,1.09
04/15/2019,1.09
04/12/2019,1.1
04/11/2019,1.12
04/10/2019,1.14
04/09/2019,1.15
04/08/2019,1.15
04/05/2019,1.16
04/04/2019,1.17
04/03/2019,1.18
04/02/2019,1.19
04/01/2019,1.19
03/29/2019,1.19
03/28/2019,1.19
03/27/2019,1.19
03/26/2019,1.18
03/25/2019,1.19
03/22/2019,1.19
03/21/2019,1.18
03/20/2019,1.2
03/19/2019,1.19
03/18/2019,1.19
03/15/2019,1.2
03/14/2019,1.21
03/13/2019,1.21
03/12/2019,1.21
03/11/2019,1.22
03/08/2019,1.23
03/07/2019,1.22
03/06/2019,1.21
03/05/2019,1.2
03/04/2019,1.2
03/01/2019,1.2
02/28/2019,1.21
02/27/2019,1.23
02/26/2019,1.23
02/25/2019,1.24
02/22/2019,1.25
02/21/2019,1.25
02/20/2019,1.25
02/19/2019,1.25
02/15/2019,1.25
02/14/2019,1.26
02/13/2019,1.24
02/12/2019,1.25
02/11/2019,1.26
02/08/2019,1.26
02/07/2019,1.26
02/06/2019,1.24
02/05/2019,1.23
02/04/2019,1.25
02/01/2019,1.27
01/31/2019,1.28
01/30/2019,1.3
01/29/2019,1.31
01/28/2019,1.32
01/25/2019,1.32
01/24/2019,1.34
01/23/2019,1.35
01/22/2019,1.37
01/18/2019,1.38
01/17/2019,1.43
01/16/2019,1.44
01/15/2019,1.47
01/14/2019,1.47
01/11/2019,1.47
01/10/2019,1.48
01/09/2019,1.48
01/08/2019,1.51
01/07/2019,1.53
01/04/2019,1.55
01/03/2019,1.57
01/02/2019,1.54
12/31/2018,1.53
12/28/2018,1.52
12/27/2018,1.52
12/26/2018,1.5
12/24/2018,1.5
12/21/2018,1.48
12/20/2018,1.46
12/19/2018,1.43
12/18/2018,1.42
12/17/2018,1.41
12/14/2018,1.4
12/13/2018,1.4
12/12/2018,1.42
