TradeDate,1D,5D,2W,3W,1M,2M,3M,6M,1Y,2Y,3Y,4Y,5Y,6Y,7Y,8Y,9Y,10Y,11Y,12Y,13Y,14Y,15Y,16Y,17Y,18Y,19Y,20Y,21Y,22Y,23Y,24Y,25Y,26Y,27Y,28Y,29Y,30Y,31Y,32Y,33Y,34Y,35Y,36Y,37Y,38Y,39Y,40Y
2-Jan-19,0.02433255,0.02456559,0.02468439,0.02492864,0.02525431,0.02641056,0.02779493,0.02734539,0.02726649,0.0264381,0.02571338,0.02543236,0.025407,0.0255687,0.02580458,0.02608003,0.02637313,0.0266817,0.02694619,0.02721049,0.02737185,0.02753209,0.02769232,0.02775679,0.02782074,0.02788469,0.02794863,0.02801258,0.02801185,0.02801074,0.02800963,0.02800852,0.02800741,0.02799721,0.02798696,0.02797671,0.02796647,0.02795622,0.02790592,0.0278554,0.02780487,0.02775435,0.02770383,0.0276533,0.02760278,0.02755225,0.02750173,0.0274512
3-Jan-19,0.02483943,0.02483721,0.02471088,0.02493628,0.02523681,0.02632674,0.02748479,0.02697335,0.02648823,0.02518769,0.02430592,0.02402669,0.0240739,0.02431024,0.02462983,0.02499498,0.02536314,0.02571828,0.02602742,0.02633614,0.02652586,0.0267143,0.02690273,0.0269816,0.02705862,0.02713563,0.02721265,0.02728966,0.02730373,0.0273171,0.02733047,0.02734384,0.02735721,0.02735119,0.02734497,0.02733874,0.02733251,0.02732628,0.02727519,0.02722359,0.02717199,0.02712038,0.02706878,0.02701717,0.02696557,0.02691397,0.02686236,0.02681076
4-Jan-19,0.02564864,0.02536693,0.02489202,0.02510293,0.02538414,0.026396,0.02761512,0.02726552,0.02712511,0.02625422,0.02556739,0.02535701,0.02539937,0.02559902,0.02586587,0.02616718,0.02648524,0.02680104,0.02706883,0.02733627,0.02749673,0.02765603,0.02781532,0.02787541,0.02793413,0.02799285,0.02805158,0.0281103,0.02811154,0.02811183,0.02811212,0.02811241,0.02811271,0.0280967,0.02808052,0.02806434,0.02804816,0.02803198,0.02798124,0.02793013,0.02787902,0.02782791,0.0277768,0.02772569,0.02767458,0.02762346,0.02757235,0.02752124
7-Jan-19,0.02402839,0.02443232,0.02458753,0.02485138,0.02520318,0.02648105,0.02765369,0.02720424,0.02719389,0.02653836,0.02597032,0.02576278,0.025801,0.02597532,0.02621089,0.02648936,0.02679483,0.02708799,0.02733647,0.02758479,0.02773386,0.02788236,0.02803087,0.02808088,0.02813032,0.02817976,0.02822921,0.02827865,0.02827207,0.02826504,0.02825801,0.02825097,0.02824394,0.02822308,0.02820206,0.02818104,0.02816002,0.028139,0.02808857,0.02803781,0.02798704,0.02793627,0.0278855,0.02783474,0.02778397,0.0277332,0.02768243,0.02763167
8-Jan-19,0.02483943,0.02471552,0.02470378,0.02496208,0.02530647,0.02665598,0.027603,0.0272524,0.0274148,0.02694814,0.02644338,0.02623962,0.0262556,0.02639778,0.02659952,0.02684809,0.02712093,0.02739154,0.02762368,0.02785568,0.02798983,0.02812343,0.02825703,0.02830289,0.02834826,0.02839363,0.02843901,0.02848438,0.02847155,0.0284584,0.02844525,0.02843209,0.02841894,0.02839442,0.02836981,0.02834519,0.02832058,0.02829597,0.02824588,0.02819559,0.0281453,0.02809501,0.02804472,0.02799443,0.02794414,0.02789385,0.02784355,0.02779326
9-Jan-19,0.02443394,0.02459814,0.02471274,0.02498853,0.02535624,0.02676207,0.02769188,0.0272457,0.02734921,0.02683818,0.02626761,0.02605527,0.02610365,0.02625574,0.0264812,0.02675167,0.02704548,0.02732696,0.0275751,0.02782313,0.02796555,0.02810681,0.02824806,0.02829844,0.02834832,0.02839821,0.02844809,0.02849798,0.02848998,0.02848168,0.02847338,0.02846508,0.02845678,0.02843445,0.02841204,0.02838962,0.02836721,0.0283448,0.02829387,0.02824279,0.0281917,0.02814061,0.02808952,0.02803844,0.02798735,0.02793626,0.02788517,0.02783409
10-Jan-19,0.02483943,0.02483599,0.02463574,0.02489088,0.02523107,0.02661143,0.02744809,0.0272097,0.02736107,0.02685855,0.02633364,0.02613789,0.02618561,0.02635077,0.02657583,0.02684568,0.02713976,0.02743091,0.0276868,0.02794231,0.02809577,0.02824807,0.02840037,0.02845944,0.0285167,0.02857395,0.02863121,0.02868846,0.02868434,0.02867952,0.0286747,0.02866988,0.02866506,0.02864521,0.02862519,0.02860517,0.02858515,0.02856513,0.02851539,0.02846531,0.02841523,0.02836515,0.02831507,0.02826499,0.02821491,0.02816483,0.02811475,0.02806467
11-Jan-19,0.0252939,0.0253191,0.02484619,0.02503553,0.02528798,0.0266012,0.02740602,0.02714823,0.02726878,0.02666584,0.02603604,0.02581625,0.02585424,0.0259979,0.02621226,0.02647145,0.02675163,0.02705747,0.02732428,0.02759065,0.02775197,0.02791213,0.02807229,0.02813688,0.0281999,0.02826291,0.02832593,0.02838895,0.0283892,0.02838823,0.02838726,0.02838628,0.02838531,0.02836946,0.02835344,0.02833742,0.0283214,0.02830538,0.02825492,0.02820407,0.02815321,0.02810236,0.02805151,0.02800066,0.02794981,0.02789895,0.0278481,0.02779725
14-Jan-19,0.02529565,0.02482485,0.02464297,0.02488558,0.02520905,0.0265255,0.02731316,0.02699869,0.02716799,0.02663249,0.02604066,0.02583556,0.02588633,0.02606225,0.0262776,0.02655061,0.02684041,0.02714634,0.02741823,0.02768998,0.02785865,0.02802673,0.02819481,0.02825717,0.02831863,0.02838009,0.02844156,0.02850302,0.02850787,0.02851211,0.02851634,0.02852058,0.02852481,0.02851003,0.02849499,0.02847994,0.0284649,0.02844985,0.0283992,0.02834806,0.02829692,0.02824578,0.02819464,0.0281435,0.02809236,0.02804122,0.02799008,0.02793894
15-Jan-19,0.02534635,0.02486078,0.02468743,0.02491888,0.02522748,0.02659619,0.02729046,0.02695621,0.02714781,0.02669399,0.02615775,0.02594252,0.02598224,0.02616837,0.0264127,0.02670519,0.02701659,0.0273269,0.02759847,0.0278699,0.02803253,0.02819456,0.0283566,0.02841855,0.02847993,0.02854132,0.02860271,0.0286641,0.02866465,0.02866469,0.02866473,0.02866477,0.02866481,0.02865006,0.02863516,0.02862025,0.02860534,0.02859044,0.02853869,0.02848653,0.02843437,0.02838221,0.02833005,0.02827789,0.02822573,0.02817357,0.02812141,0.02806925
