Issuer Name,Ticker,Default Date,ISIN
Ambac Financial Group Inc/Old,ABK,12/1/2010,US023139AB45
Talen Energy Supply LLC,TLN,5/9/2022,US87422VAA61
Talen Energy Supply LLC,TLN,5/9/2022,US87422VAE83
Tsinghua Unic Ltd,TSINGH,1/31/2021,XS1728038818
E-House China Enterprise Holdings Ltd,EHOUSE,4/18/2022,XS2066636429
China Evergrande Group,EVERRE,3/23/2022,XS1580431143
Ruby Pipeline LLC,RPLLLC,3/31/2022,US781172AB79
Tsinghua Unic Ltd,TSINGH,2/7/2021,XS1728038909
Talen Energy Supply LLC,TLN,5/9/2022,US87422VAF58
Kaisa Group Holdings Ltd,KAISAG,2/1/2022,XS1627598094
Moby SpA,MOBYIT,3/16/2020,XS1361301457
Russian Railways Via RZD Capital PLC,RURAIL,3/30/2022,CH0522690715
Talen Energy Supply LLC,TLN,5/9/2022,US69352JAK34
Mallinckrodt International Finance SA / Mallinckrodt CB LLC,MNK,10/12/2020,US561233AG28
Unigroup International Holdings Ltd,TSINGH,12/10/2020,XS1332351169
TV Azteca SAB de CV,TZA,3/11/2021,XS1662406468
Credito Real SAB de CV SOFOM ER,CREAL,2/9/2022,CH0398677754
Zhenro Properties Group Ltd,ZHPRHK,4/9/2022,XS2346158822
Yuzhou Group Holdings Co Ltd,YUZHOU,3/6/2022,XS1945941786
China Aoyuan Group Ltd,CAPG,1/23/2022,XS1937690128
Mallinckrodt International Finance SA / Mallinckrodt CB LLC,MNK,10/12/2020,US561233AA57
Talen Energy Supply LLC,TLN,5/9/2022,US87422VAG32
Midas Intermediate Holdco II LLC / Midas Intermediate Holdco II Finance Inc,SVKING,5/1/2022,US59563KAA88
Zhenro Properties Group Ltd,ZHPRHK,4/10/2022,XS2226898216
Kaisa Group Holdings Ltd,KAISAG,12/7/2021,XS2268673337
Zhenro Properties Group Ltd,ZHPRHK,4/14/2022,XS2185842924
Talen Energy Supply LLC,TLN,5/9/2022,US87422VAJ70
Zhenro Properties Group Ltd,ZHPRHK,4/13/2022,XS2329241447
SD International Sukuk Ltd,SDHMK,12/9/2021,XS1900582476
Yuzhou Group Holdings Co Ltd,YUZHOU,3/28/2022,XS1954963580
Wirecard AG,WDIGR,6/25/2020,DE000A2YNQ58
DaFa Properties Group Ltd,DAFAPG,3/1/2022,XS2182881388
Tsinghua Unic Ltd,TSINGH,2/7/2021,XS1728039113
CFLD Cayman Investment Ltd,CHFOTN,7/31/2021,XS1860402954
Zhenro Properties Group Ltd,ZHPRHK,4/9/2022,XS2152219973
Yuzhou Group Holdings Co Ltd,YUZHOU,3/22/2022,XS2121187962
Mallinckrodt International Finance SA / Mallinckrodt CB LLC,MNK,10/12/2020,US561233AD96
CFLD Cayman Investment Ltd,CHFOTN,2/28/2021,XS1953977326
Mallinckrodt International Finance SA / Mallinckrodt CB LLC,MNK,10/12/2020,US561233AE79
