,Close*OAS,Close*Price,Daily*OAS,Daily*Price,WTD*OAS,WTD*Price,MTD*OAS,MTD*Price,YTD*OAS,YTD*Price,OAD,YTD*XSRet,Mkt*Cap,6m*Min,6m*Max,6m*%tile,color
US Stats Index,170.81317090300624,121.20435082574558,-1.8893201564915216,-0.8599296155109784,-1.3297731757226927,-2.0435073900062264,4.529375200375114,-0.7294797791752217,-26.02813344839251,17.34032143624698,14.166634917747743,591.6971360577604,1.0,152.30192891433688,179.47865060902782,81.88976377952756,
AAA,85.40564407287374,120.56064059023184,-1.1467923005624812,-1.0832523087260597,-0.8022480585638051,-2.458031360881165,1.7066812632781565,-0.5791354878878394,-7.942984755771789,15.953799420892679,15.784278462497092,242.67737737441846,0.03305422909915953,73.59302327023131,88.66621745970835,81.88976377952756,
AA,107.5665799526304,128.5704357883698,-1.202241019306939,-1.0774558443061153,-0.5522187483605734,-2.437203667158656,2.537216382639997,-0.6262975889069367,-12.662869990293302,16.941179134884337,14.758284390394593,303.6458405543385,0.09363067055001688,95.59098435152052,109.84754401611006,88.97637795275591,
A,131.84560738163168,123.53587268807829,-1.6559651021346724,-0.948726860149705,-1.3907256503316603,-2.136566825076926,2.6854979485864305,-0.5889081283593214,-21.608201175159394,17.403689297397932,14.621802590763444,459.35954474808807,0.3603480222977887,116.3143218534457,140.02945624282629,78.74015748031495,
BBB,215.21909237380126,118.26529163804857,-2.3078473648657507,-0.7380486101122301,-1.560620180722708,-1.873005022533306,6.240351686172288,-0.8466618081246224,-34.204729830427105,17.554874646901116,13.634660684617149,758.0000109882823,0.5129670780530349,193.09174000744076,226.64165390265583,80.31496062992126,
Financials,162.71165431869713,121.72178800237272,-1.544200840258469,-0.8813865139734816,-0.934173172483753,-2.055830705975211,4.2153115919481365,-0.7258342738646064,-39.59754680353106,18.444799591255844,13.430698100188511,725.7646038511732,0.14140795335652934,143.79757556658112,173.00055141030384,81.1023622047244,
Industrials,168.43969184149935,121.06521721193472,-1.7750224009419069,-0.8842430632879825,-1.0376322704330219,-2.1011725888809143,4.122030551480236,-0.7787078453257692,-24.738657842933012,17.1416264000721,14.314797958185304,548.0158627550446,0.7788821564871141,150.8973194260677,178.03375281719363,77.16535433070865,
ex Energy & M/M,159.62995746124653,121.2889091366438,-1.826172330907866,-0.8903975773843626,-1.470010599498238,-2.0675443266449065,3.2589192464171504,-0.6667025140425835,-24.926404461549225,17.35777627202357,14.487940924581222,552.6507392316038,0.6728877467147687,144.0960382604793,170.7550090475589,73.22834645669292,
Utilities,138.5408191850747,120.84855204248476,-1.5212732498262935,-0.9742577334905888,-1.1066929643286298,-2.183451624855664,1.5305996194804266,-0.4216892780703176,-10.826487882754435,15.923695297011962,15.095033401801992,296.6089438422737,0.10572260697416284,124.11271838717651,145.9676795932521,80.31496062992126,
Electric,137.02902884792456,121.25275206095829,-1.5156141802549712,-0.9726325131133108,-1.1302530984440011,-2.1737444712433813,1.488707730392207,-0.4077382694739384,-10.61250527077678,15.878615629619105,15.025002576282516,289.95936256505763,0.09466087118509917,122.61795253597744,144.22292290762397,80.31496062992126,
