,B_0,B_1,B_2,B_3,Tau_1,Tau_2,KRD_0.5,KRD_2,KRD_5,KRD_10,KRD_20,KRD_30,c_0.5,c_2,c_5,c_10,c_20,c_30,tret_0.5,tret_2,tret_5,tret_10,tret_20,tret_30,tret_cash
2003-12-31,0.047809163340266365,1.1425808784135068,-1.5524602725137966,0.15445100852765278,1.6194016261075237,5.427068958819895,0.5,1.6592697437375312,4.702329840352045,8.817558261673733,13.047267291742635,15.624901391052425,52.342651034487645,18.85628551074247,2.143843571541661,1.7605687909189172,2.5545361058114264,2.604113036834417,-0.5307279078559443,-0.5656986285718967,-0.6192900408987093,-0.6712867909588985,-0.7170555364526308,-0.7382974218380919,-1.0
2004-01-02,0.05841654442819332,0.10667333302160448,-1.7906573887210786,0.08001549491216269,0.14040697419503087,2.5385978258567468,0.5,2.0654454324526483,4.6127892572522535,7.7778628840613795,11.873588077491839,14.119258962298955,-15.77044520559684,-1.8562579530554968,1.5716239860713472,2.412340693234086,2.635099837688239,2.6873778015209178,0.8075772021543929,0.9500187697284672,0.05877680989766702,-0.11104681042649203,-0.020408066070596503,-0.02510065331707836,0.006519331797174318
2004-01-05,0.0494836860162982,-1.132068992877171,2.0078892627012217,-0.534649448054925,2.292547223252496,3.1379358243894258,0.5,2.6276376856435117,4.756025382207951,6.527473339032331,10.079463194326706,12.372480578742008,-33.515057289616536,-12.385923231429766,0.6469789120526324,2.7401417365050293,2.701743820699467,2.666191110349504,0.2608230207579942,0.7580896855126932,0.1396298458376404,-0.0670384568028507,-0.017633931189147488,0.007207399884054838,0.0009188914273383377
2004-01-06,2.7999371918328793e-15,-14.00599323262936,19.258540853057468,30.0,1.5493398705613612,2.5,0.5,0.5719983720949686,0.5719060922582845,0.5719060922582845,0.5719060922582845,0.5719060922582845,-96.71051414253492,2.819958471703836,2.820140703592011,2.820140703592011,2.820140703592011,2.820140703592011,19.169432755655013,-5.396624279775915,-0.7703387499790791,-0.0273185652316171,-0.040948860095673036,-0.05356917854577418,-0.002957108379612237
2004-01-07,0.04742994,0.973599412,-1.406147451,0.186192387,1.833922145,5.219613122,0.5,1.65690656,4.62331201,8.846749246,13.09900312,15.69122319,45.3389595,18.16665977,2.685024084,1.734469979,2.552072446,2.60270095,-0.7995858109999999,-0.563152775,0.120844761,0.210780958,0.017866846999999998,0.025728964,-0.011539155
2004-01-08,0.040223984,0.863110789,-1.3868917280000002,0.292927232,2.213794482,5.182425349,0.5,1.635976784,4.492252445,8.92228817,13.23914748,16.01473229,41.27959822,18.88893929,3.692577628,1.680691348,2.549474586,2.574378012,0.030158491000000006,-0.017108496,-0.06451415,0.007930201,0.0007739839999999999,0.008740553,0.002796511
2004-01-09,0.049340222,-0.17272661399999995,0.063229099,0.084464641,2.358769368,5.077571326,0.5,2.059908686,4.7951671330000005,7.990985121,11.98503732,14.4635294,-4.714550479,-1.875712428,0.861152864,2.163437545,2.535643608,2.558628934,0.482405553,0.891358165,0.290380605,-0.08502520699999999,0.003816399,0.005109577,0.002474346
2004-01-12,0.041672542,0.412333179,-0.7752083470000001,0.14228750699999998,1.118221855,5.5,0.5,1.967490607,4.930611486,8.21496168,12.11478628,14.76088205,13.36428393,1.223334441,0.32913543,2.022578532,2.535598413,2.530716455,-0.15880243900000002,-0.11309766,0.051666978,0.025177415,0.000406597,0.009189144,-0.001009689
2004-01-13,0.050379334000000005,0.864813191,-2.07414344,0.255660404,0.487696794,2.913280637,0.5,2.237550128,4.901143939,7.683654697000001,11.55851978,14.01597397,2.9191217660000004,-7.221078621,0.368319247,2.261233974,2.5292360080000003,2.537604221,0.100389612,0.406010485,-0.004210863,-0.044620583,0.001850475,-0.002076898,0.001240737
2004-01-14,0.040109497,0.926056748,-1.3526671890000002,0.192643597,1.657934026,5.5,0.5,1.720339754,4.794953632,8.81076946,12.96114496,15.74477824,40.53426476,14.02201991,1.332339564,1.641623191,2.46377849,2.481738253,-0.26677394,-0.548766391,-0.071550408,0.09878973,0.017157073999999998,0.017726881,0.0024882520000000003
